species,photo,rock#,rock.circumference
rand,P1210685,2,1.5
rand,P1210680,2,1.5
rand,P1210675,2,7.5
rand,P1210670,2,0.5
rand,P1210665,2,3.5
sagu,0716-NST,2,NA
sagu,0715-NST,2,10
sagu,0714-NST,2,NA
sagu,0713-NST,2,NA
sagu,0712-NST,2,NA
sagu,0711-NST,2,NA
sagu,0709-NST,2,NA
sagu,0708-NST,2,NA
sagu,0707-NST,2,5
sagu,0705-NST,2,NA
sagu,0703-NST,2,2.5
sagu,0704-NST,2,NA
sagu,0702-NST,2,NA
sagu,0701-NST,2,NA
sagu,0710-NST,2,NA
ltdu,0701-NST,2,4
ltdu,0713-NST,2,NA
ltdu,0708-NST,2,NA
ltdu,0707-NST,2,NA
ltdu,0702-NST,2,0.5
coei,07127-NST,2,5
coei,0774-NST,2,4.5
coei,0769-NST,2,3
coei,0768-NST,2,NA
coei,0763-NST,2,2.5
coei,07103-NST,2,6
coei,0713-NST,2,7.5
coei,07126-NST,2,NA
coei,07125-NST,2,4
coei,07124-NST,2,2.5
coei,07120-NST,2,5
coei,07119-NST,2,2.5
coei,0745-NST,2,5.5
coei,0750-NST,2,2.5
coei,0749-NST,2,4.5
coei,0738-NST,2,4.5
coei,0737-NST,2,5
coei,0735-NST,2,2
coei,0729-NST,2,NA
coei,0718-NST,2,NA
coei,005-NST,2,NA
coei,115-NST,2,3
arte,07279-NST,2,1.5
arte,07278-NST,2,NA
arte,07277-NST,2,NA
arte,07191-NST,2,4
arte,0758-NST,2,4
arte,0752-NST,2,0.5
arte,07276-NST,2,NA
arte,07275-NST,2,0.5
arte,07258-NST,2,NA
arte,07257-NST,2,3
arte,07243-NST,2,3
arte,07242-NST,2,NA
arte,07226-NST,2,NA
arte,07224-NST,2,2
arte,07222-NST,2,NA
arte,07219-NST,2,NA
arte,07273-NST,2,NA
arte,07272-NST,2,NA
arte,07271-NST,2,4
arte,07210-NST,2,NA
arte,07183-NST,2,NA
arte,07182-NST,2,NA
arte,07180-NST,2,3
arte,07178-NST,2,3.5
arte,07171-NST,2,NA
arte,07158-NST,2,NA
arte,07156-NST,2,4
arte,07154-NST,2,NA
arte,07152-NST,2,NA
arte,07148-NST,2,5
arte,07133-NST,2,NA
arte,07131-NST,2,7.5
arte,07129-NST,2,1
arte,0757-NST,2,5
arte,0755-NST,2,NA
arte,0718-NST,2,NA
arte,0712-NST,2,NA
arte,0709-NST,2,NA
arte,07261-NST,2,NA
arte,07201-NST,2,NA
arte,07161-NST,2,0.5
arte,07159-NST,2,NA
arte,07157-NST,2,0.5
arte,07144-NST,2,NA
arte,07139-NST,2,NA
arte,0730-NST,2,NA
pusa,pusa0701,2,2
ltdu,ltdu0712,2,2.5
coei,coei07999,2,2
coei,coei07998,2,1
coei,coei07997,2,2
coei,coei0794,2,2
coei,coei0790,2,2
coei,coei0702,2,5
arte,arte07998,2,3.5
arte,arte07997,2,NA
coei,6476,3,0.4
sagu,6460,3,0.8
sagu,6462,3,NA
sagu,6463,3,0.5
sagu,6464,3,NA
sagu,6469,3,NA
arte,6432,3,NA
arte,6435,3,NA
arte,6436,3,NA
arte,6437,3,NA
arte,6438,3,0.6
arte,6439,3,NA
arte,6440,3,NA
arte,6441,3,NA
arte,6442,3,NA
arte,6449,3,0.4
arte,6452,3,NA
arte,6453,3,0.3
arte,6454,3,NA
arte,6458,3,0.5
arte,6459,3,0.3
arte,6461,3,NA
arte,6465,3,3
arte,6467,3,1.2
arte,6468,3,1
arte,6477,3,0.9
coei,6433,3,NA
coei,6434,3,1
coei,6448,3,NA
coei,6450,3,NA
coei,6466,3,NA
coei,6494,3,0.7
coei,6495,3,0.6
coei,6496,3,0.6
coei,6497,3,0.3
coei,6499,3,NA
coei,6500,3,NA
coei,6501,3,0.9
coei,6503,3,1.2
coei,6504,3,1
rand,1126,3,7
rand,1121,3,3.5
rand,1116,3,5.5
rand,1111,3,NA
rand,1106,3,0.5
rand,1101,3,2.5
rand,1096,3,3
rand,1091,3,11
rand,1086,3,2
rand,1081,3,5
rand,1076,3,4
rand,1071,3,4.5
rand,1066,3,2
rand,1061,3,NA
rand,1056,3,3.5
rand,1050,3,4
rand,1045,3,1
rand,1040,3,3
rand,1035,3,1.5
rand,1030,3,7
rand,1025,3,2.5
rand,1020,3,3
rand,1015,3,NA
rand,1010,3,NA
rand,1004,3,2
rand,46-NST,3,2.5
rand,45-NST,3,3
rand,44-NST,3,1.5
rand,43-NST,3,NA
rand,42-NST,3,3.5
rand,41-NST,3,1
rand,40-NST,3,2
rand,39-NST,3,3
rand,38-NST,3,1
rand,37-NST,3,5
rand,36-NST,3,1.5
rand,35-NST,3,1
rand,34-NST,3,4
rand,33-NST,3,4
rand,32-NST,3,2
rand,31-NST,3,1
rand,30-NST,3,2
rand,29-NST,3,5
rand,28-NST,3,8
rand,27-NST,3,3.5
rand,26-NST,3,3
rand,20-NST,3,4
rand,19-NST,3,NA
rand,18-NST,3,NA
rand,17-NST,3,NA
rand,16-NST,3,5
rand,15-NST,3,NA
rand,14-NST,3,1
rand,13-NST,3,7
rand,12-NST,3,NA
rand,11-NST,3,8
rand,10-NST,3,3
rand,9-NST,3,3
rand,8-NST,3,NA
rand,7-NST,3,2.5
rand,6-NST,3,3
rand,5-NST,3,0.5
rand,4-NST,3,3
rand,3-NST,3,5
rand,2-NST,3,6.5
rand,1-NST,3,2
rand,P1210832,3,NA
rand,P1210827,3,NA
rand,P1210821,3,2
rand,P1210816,3,NA
rand,P1210811,3,NA
rand,P1210806,3,NA
rand,P1210801,3,NA
rand,P1210796,3,NA
rand,P1210790,3,2
rand,P1210785,3,5.5
rand,P1210773,3,5.5
rand,P1210763,3,4.5
rand,P1210758,3,2
rand,P1210753,3,NA
rand,P1210748,3,0.5
rand,P1210743,3,NA
rand,P1210735,3,2.5
rand,P1210729,3,NA
