species,photo,%rock,%veg,%mud/dirt,%other,1,2,3,4,5,6,7,8,9,10
sagu,0703-NST,5,95,0,0,2.5,2.5,3.5,0.5,0.5,5,2,3,3.5,2.5
sagu,0704-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0702-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0701-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0710-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu,0701-NST,5,95,0,0,1,4,,1.5,2.5,2,1,1,1,0.5
ltdu,0713-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu,0708-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu,0707-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu,0702-NST,2,98,0,0,1,0.5,4.5,6.5,1,2.5,2,1.5,5,4
coei,07127-NST,5,95,0,0,4.5,5,6.5,4.5,3,3.5,3.5,2.5,1,0.5
coei,0774-NST,20,80,0,0,8,4.5,8.5,3.5,6.5,4,2.5,9.5,1,1.5
coei,0769-NST,60,40,0,0,2.5,3,1.5,2.5,3.5,2.5,1,1.5,0.5,4
coei,0768-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei,0763-NST,10,90,0,0,4,2.5,2.5,3,1.5,4.5,4,3.5,3,2
coei,07103-NST,2,98,0,0,2.5,6,8,5,2,1,0.5,0.5,0.5,4
coei,0713-NST,10,88,0,2,8.5,7.5,3.5,2.5,5.5,4.5,5,4,3.5,1
coei,07126-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
coei,07125-NST,5,75,20,0,5,4,1,4.5,3.5,3,4.5,0.5,2,1.5
coei,07124-NST,10,90,0,0,2,2.5,1,4.5,4,5,1.5,0.5,2,1.5
coei,07120-NST,60,40,0,0,5,5,5.5,4.5,6,4,3.5,1,5.5,7
coei,07119-NST,10,90,0,0,3.5,2.5,5.5,4,2.5,1.5,0.5,0.5,1,3
coei,0745-NST,15,85,0,0,4.5,5.5,4.5,5.5,1.5,0.5,3.5,6,0.5,5
coei,0750-NST,10,90,0,0,2,2.5,8.5,3.5,0.5,3,4,2.5,2,4
coei,0749-NST,30,70,0,0,5,4.5,3.5,4.5,1.5,3.5,2.5,2,1,2
coei,0738-NST,30,70,0,0,9,4.5,7,7.5,3.5,2.5,1.5,1,2,5
coei,0737-NST,50,50,0,0,5,5,1,0.5,4,3,6,4,4.5,2.5
coei,0735-NST,10,90,0,0,2.5,2,1.5,1,0.5,3,4,2.5,3,3.5
coei,0729-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei,0718-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei,005-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei,115-NST,25,75,0,0,2.5,3,1,1,1,1.5,2,0.5,0.5,2
arte,07279-NST,5,95,0,0,2,1.5,3.5,4,1,2,2.5,1.5,0.5,3
arte,07278-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte,07277-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
