ID,photo,1,2,3,4,5,6,7,8,9,10,correctedspecies
134,P1210675,5,7.5,2.5,4.5,4,5,5,5.5,6,4.5,rand
135,P1210670,2.5,0.5,4,2.5,3.5,4.5,1.5,2,3,4,rand
136,P1210665,1,3.5,5.5,1.5,0.5,1,1,0.5,2.5,2,rand
137,0716-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
138,0715-NST,12,10,1,1,1,1.5,0.5,2,1,1.5,sagu
139,0714-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
140,0713-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
141,0712-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
142,0711-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
143,0709-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
144,0708-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
145,0707-NST,4.5,5,3,4,2.5,4.5,3.5,4,5.5,3,sagu
146,0705-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
147,0703-NST,2.5,2.5,3.5,0.5,0.5,5,2,3,3.5,2.5,sagu
148,0704-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
149,0702-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
150,0701-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
151,0710-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sagu
152,0701-NST,1,4,NA,1.5,2.5,2,1,1,1,0.5,ltdu
153,0713-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ltdu
154,0708-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ltdu
155,0707-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ltdu
156,0702-NST,1,0.5,4.5,6.5,1,2.5,2,1.5,5,4,ltdu
157,07127-NST,4.5,5,6.5,4.5,3,3.5,3.5,2.5,1,0.5,coei
158,0774-NST,8,4.5,8.5,3.5,6.5,4,2.5,9.5,1,1.5,coei
159,0769-NST,2.5,3,1.5,2.5,3.5,2.5,1,1.5,0.5,4,coei
160,0768-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
161,0763-NST,4,2.5,2.5,3,1.5,4.5,4,3.5,3,2,coei
162,07103-NST,2.5,6,8,5,2,1,0.5,0.5,0.5,4,coei
163,0713-NST,8.5,7.5,3.5,2.5,5.5,4.5,5,4,3.5,1,coei
164,07126-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
165,07125-NST,5,4,1,4.5,3.5,3,4.5,0.5,2,1.5,coei
166,07124-NST,2,2.5,1,4.5,4,5,1.5,0.5,2,1.5,coei
167,07120-NST,5,5,5.5,4.5,6,4,3.5,1,5.5,7,coei
168,07119-NST,3.5,2.5,5.5,4,2.5,1.5,0.5,0.5,1,3,coei
169,0745-NST,4.5,5.5,4.5,5.5,1.5,0.5,3.5,6,0.5,5,coei
170,0750-NST,2,2.5,8.5,3.5,0.5,3,4,2.5,2,4,coei
171,0749-NST,5,4.5,3.5,4.5,1.5,3.5,2.5,2,1,2,coei
172,0738-NST,9,4.5,7,7.5,3.5,2.5,1.5,1,2,5,coei
173,0737-NST,5,5,1,0.5,4,3,6,4,4.5,2.5,coei
174,0735-NST,2.5,2,1.5,1,0.5,3,4,2.5,3,3.5,coei
175,0729-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
176,0718-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
177,005-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,coei
178,115-NST,2.5,3,1,1,1,1.5,2,0.5,0.5,2,coei
179,07279-NST,2,1.5,3.5,4,1,2,2.5,1.5,0.5,3,arte
180,07278-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
181,07277-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
182,07191-NST,5.5,4,5,2,1,4,1,2.5,2.5,3,arte
183,0758-NST,0.5,4,3.5,1.5,10,2.5,2,3,4.5,0.5,arte
184,0752-NST,1.5,0.5,5,2,2,1,2,4,2.5,3,arte
185,07276-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
186,07275-NST,2.5,0.5,0.5,0.5,3,4,2,1.5,3,1.5,arte
187,07258-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
188,07257-NST,0.5,3,1.5,1,0.5,0.5,1,2,1,2.5,arte
189,07243-NST,7,3,1,5,2,0.5,1,0.5,1,4,arte
190,07242-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
191,07226-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
192,07224-NST,2,2,2,2.5,1,1,1.5,2,2,2,arte
193,07222-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
194,07219-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
195,07273-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
196,07272-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
197,07271-NST,1,4,2.5,1,1,3.5,1,0.5,2.5,2,arte
198,07210-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
199,07183-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arte
