species,photo,ground.type,percent.cover
coei,005-NST,mud.dirt,0
coei,115-NST,mud.dirt,0
arte,07279-NST,mud.dirt,0
arte,07278-NST,mud.dirt,0
arte,07277-NST,mud.dirt,0
arte,07191-NST,mud.dirt,0
arte,0758-NST,mud.dirt,0
arte,0752-NST,mud.dirt,0
arte,07276-NST,mud.dirt,0
arte,07275-NST,mud.dirt,0
arte,07258-NST,mud.dirt,0
arte,07257-NST,mud.dirt,0
arte,07243-NST,mud.dirt,0
arte,07242-NST,mud.dirt,0
arte,07226-NST,mud.dirt,0
arte,07224-NST,mud.dirt,0
arte,07222-NST,mud.dirt,0
arte,07219-NST,mud.dirt,0
arte,07273-NST,mud.dirt,0
arte,07272-NST,mud.dirt,0
arte,07271-NST,mud.dirt,0
arte,07210-NST,mud.dirt,0
arte,07183-NST,mud.dirt,0
arte,07182-NST,mud.dirt,0
arte,07180-NST,mud.dirt,0
arte,07178-NST,mud.dirt,0
arte,07171-NST,mud.dirt,0
arte,07158-NST,mud.dirt,0
arte,07156-NST,mud.dirt,0
arte,07154-NST,mud.dirt,0
arte,07152-NST,mud.dirt,0
arte,07148-NST,mud.dirt,0
arte,07133-NST,mud.dirt,0
arte,07131-NST,mud.dirt,0
arte,07129-NST,mud.dirt,0
arte,0757-NST,mud.dirt,0
arte,0755-NST,mud.dirt,0
arte,0718-NST,mud.dirt,0
arte,0712-NST,mud.dirt,0
arte,0709-NST,mud.dirt,0
arte,07261-NST,mud.dirt,0
arte,07201-NST,mud.dirt,0
arte,07161-NST,mud.dirt,0
arte,07159-NST,mud.dirt,0
arte,07157-NST,mud.dirt,0
arte,07144-NST,mud.dirt,0
arte,07139-NST,mud.dirt,0
arte,0730-NST,mud.dirt,0
pusa,pusa0701,mud.dirt,0
ltdu,ltdu0712,mud.dirt,0
coei,coei07999,mud.dirt,0
coei,coei07998,mud.dirt,0
coei,coei07997,mud.dirt,0
coei,coei0794,mud.dirt,0
coei,coei0790,mud.dirt,0
coei,coei0702,mud.dirt,0
